suj,bloc,StimDiff,cue,attend,correct,rt
sub002,jittered,0.04,retro,second,1,0.438170194625854
sub002,jittered,0.04,retro,second,1,0.482666969299316
sub002,jittered,0.04,retro,first,0,0.516732931137085
sub002,jittered,0.04,retro,second,0,0.378087043762207
sub002,jittered,0.04,retro,first,1,0.497107982635498
sub002,jittered,0.04,pre,second,0,0.361669063568115
sub002,jittered,0.04,pre,first,0,0.268244028091431
sub002,jittered,0.04,pre,second,1,0.408119916915894
sub002,jittered,0.04,pre,first,1,0.425820827484131
sub002,jittered,0.04,pre,second,1,0.508718013763428
sub002,jittered,0.04,retro,first,1,0.640912055969238
sub002,jittered,0.04,pre,first,1,0.498217105865479
sub002,jittered,0.04,pre,first,0,0.457616806030273
sub002,jittered,0.04,pre,second,1,0.378560066223145
sub002,jittered,0.04,pre,second,1,0.518711090087891
sub002,jittered,0.04,pre,first,1,0.517581939697266
sub002,jittered,0.04,retro,first,1,0.546050071716309
sub002,jittered,0.04,retro,first,0,1.36413502693176
sub002,jittered,0.04,pre,first,1,0.606051206588745
sub002,jittered,0.04,retro,second,1,0.381977796554565
sub002,jittered,0.04,retro,second,1,0.438117980957031
sub002,jittered,0.04,pre,second,0,0.538924932479858
sub002,late,0.04,retro,first,1,0.504755020141602
sub002,late,0.04,retro,second,0,0.34508204460144
sub002,late,0.04,pre,second,1,0.565268993377686
sub002,late,0.04,pre,second,1,0.665908098220825
sub002,late,0.04,retro,second,0,0.358312845230103
sub002,late,0.04,pre,second,1,0.397641897201538
sub002,late,0.04,retro,second,1,0.37636399269104
sub002,late,0.04,retro,second,1,0.725036144256592
sub002,late,0.04,pre,first,1,0.365231037139893
sub002,late,0.04,pre,second,0,0.463597059249878
sub002,late,0.04,pre,second,0,0.429186105728149
sub002,late,0.04,pre,first,0,0.486147880554199
sub002,late,0.04,pre,second,1,0.423850059509277
sub002,late,0.04,retro,first,0,0.429430961608887
sub002,late,0.04,retro,first,1,0.580642938613892
sub002,late,0.04,pre,first,1,0.484067916870117
sub002,late,0.04,pre,first,1,0.710843086242676
sub002,late,0.04,pre,second,0,0.94085693359375
sub002,late,0.04,retro,second,0,0.424885034561157
sub002,late,0.04,retro,first,1,0.567055940628052
sub002,late,0.04,retro,second,1,0.349950075149536
sub002,late,0.04,retro,first,1,0.528377056121826
sub002,late,0.04,retro,first,0,0.343245983123779
sub002,late,0.04,retro,second,0,0.429266929626465
sub002,late,0.04,pre,second,0,1.07327318191528
sub002,late,0.04,pre,first,1,0.509371042251587
sub002,late,0.04,retro,second,1,0.465972900390625
sub002,late,0.04,pre,first,1,0.447732925415039
sub002,late,0.04,pre,first,1,0.379004955291748
sub002,late,0.04,retro,first,0,1.20711493492126
sub002,late,0.04,pre,first,0,0.528593063354492
sub002,late,0.04,retro,first,1,1.02028179168701
