suj,bloc,cue,attend,correct,rt
p004,early,pre,second,1,0.561609983444214
p004,early,retro,second,1,0.439209938049316
p004,early,retro,first,1,0.780788898468018
p004,early,pre,first,1,0.451859951019287
p004,early,pre,first,0,0.846158981323242
p004,early,pre,second,0,0.818727970123291
p004,early,pre,first,1,0.431046962738037
p004,early,pre,first,1,0.42408299446106
p004,early,retro,first,1,0.344602108001709
p004,early,retro,first,1,0.410989046096802
p004,early,retro,second,1,0.384111881256104
p004,early,pre,second,1,0.398022890090942
p004,early,retro,second,1,0.416428804397583
p004,early,retro,first,1,0.372789144515991
p004,early,retro,second,1,0.302042007446289
p004,early,pre,second,1,0.807887077331543
p004,early,pre,first,1,0.345027923583984
p004,early,retro,second,1,0.531400918960571
p004,early,pre,second,1,0.368588209152222
p004,early,retro,second,0,0.721745014190674
p004,early,pre,first,1,0.310312986373901
p004,early,retro,first,0,0.356456995010376
p004,early,retro,first,1,0.451854944229126
p004,early,pre,first,1,0.366839170455933
p004,early,retro,second,1,0.479933977127075
p004,early,pre,second,0,0.588109016418457
p004,early,pre,second,1,0.592939138412476
p004,early,pre,second,1,0.544029951095581
p004,early,retro,first,1,0.356446027755737
p004,jittered,pre,second,1,0.378092050552368
p004,jittered,retro,second,1,0.509801149368286
p004,jittered,pre,second,1,0.822245121002197
p004,jittered,pre,second,1,0.54460597038269
p004,jittered,retro,first,1,0.411710023880005
p004,jittered,retro,first,1,0.353794097900391
p004,jittered,pre,first,1,0.470979928970337
p004,jittered,pre,first,1,0.428969144821167
p004,jittered,pre,second,1,0.476319074630737
p004,jittered,retro,second,1,0.500586986541748
p004,jittered,retro,first,1,0.498770952224731
p004,jittered,retro,first,1,0.567725896835327
p004,jittered,pre,second,1,0.457581996917725
p004,jittered,pre,first,1,0.639083862304688
p004,jittered,retro,first,1,0.530060052871704
p004,jittered,pre,first,1,0.881232023239136
p004,jittered,pre,second,1,0.523539066314697
p004,jittered,pre,second,1,0.509151935577393
p004,jittered,pre,first,1,0.397783041000366
p004,jittered,retro,second,1,0.448369026184082
p004,jittered,pre,second,1,0.3785240650177
p004,jittered,pre,first,1,0.422078847885132
p004,jittered,pre,first,1,0.397203922271729
p004,jittered,retro,second,1,0.488234043121338
p004,jittered,pre,first,1,0.461307048797607
p004,jittered,retro,first,1,0.489236116409302
p004,jittered,retro,first,1,0.446945905685425
p004,jittered,retro,second,1,0.571140050888062
p004,jittered,retro,first,1,0.346452951431274
p004,jittered,retro,second,1,0.348484039306641
p004,jittered,retro,second,1,0.413134813308716
p004,jittered,retro,second,1,0.448601007461548
p004,late,retro,second,1,0.344146966934204
p004,late,pre,second,1,0.341286897659302
p004,late,retro,first,1,0.42863917350769
p004,late,pre,first,1,0.390445947647095
p004,late,retro,second,1,0.358237028121948
p004,late,retro,first,1,0.399618864059448
p004,late,retro,first,1,0.45088791847229
p004,late,retro,second,1,0.42592716217041
p004,late,retro,first,1,0.856761932373047
p004,late,pre,second,1,0.437602043151855
p004,late,retro,second,1,1.34184002876282
p004,late,retro,second,1,0.444311857223511
p004,late,pre,first,1,0.356791019439697
p004,late,pre,second,0,0.725967884063721
p004,late,pre,first,1,0.424069881439209
p004,late,retro,first,1,0.393179893493652
p004,late,pre,second,0,0.660062074661255
p004,late,retro,first,1,0.333676815032959
p004,late,pre,second,1,0.464664936065674
p004,late,retro,second,1,0.300318956375122
p004,late,pre,first,1,0.340974807739258
p004,late,pre,second,1,0.327885150909424
p004,late,pre,second,1,0.662083864212036
p004,late,pre,first,1,0.409044981002808
p004,late,retro,second,1,0.408390045166016
p004,late,pre,first,1,0.408683061599731
p004,late,pre,second,1,0.410032033920288
p004,late,retro,first,1,0.550536155700684
p004,late,pre,first,1,0.474982023239136
p004,late,retro,second,1,0.548923969268799
p004,late,retro,first,1,0.422059059143066
p004,late,pre,first,1,0.567694902420044
